OID_,Nimi,Namn,OLOTILA,TOIMENPIDE,PAIVITTAJA,PAIVITYSAJ,TYYPPI,NIMISTOLAJ,TALLENNUSA,LUOKKA,TALLENTAJA,GlobalID,x,y,Kunta
2164,Murtoonpellontie,Murtoåkersvägen,1, ,tarja.itatalo@vantaa.fi,12/22/2020 0:00,katu,Katu,,433, ,{F45794FD-1631-4C6E-8B4F-E4DC26B6A418},380787.0953,6694568.311,Vantaa
2165,Mustakoivunkuja,Svartbjörksgränden,1, , ,,katu,Katu,,433, ,{96475741-5494-450F-80B9-E4ED60E3A0EE},377448.4276,6686219.411,Vantaa
2166,Junkkarinkäytävä,Junkargången,1, , ,,muu,jalankulku,,433, ,{E14D1925-CC72-43EB-AD0B-CA489CF1D581},387317.194,6685246.925,Vantaa
2167,Kulokukontie,Bränntoppsvägen,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,katu,Katu,,433, ,{BBEBB398-D284-4AE6-968A-4B0B25A5E57C},392269.9031,6691582.666,Vantaa
2168,Oinaankuja,Vädursgränden,1, ,ritva.myyrylainen@vantaa.fi,10/1/2019 0:00,katu,Katu,,433, ,{A9AB140D-FE9D-4F40-AB7D-C44F61E4A8D5},394682.1501,6691309.331,Vantaa
2169,Lavangonkuja,Lavangogränden,2, , ,,katu,Katu,,433, ,{5C7C2651-703A-4547-BAE7-9C5400B79B8B},385792.9719,6690855.376,Vantaa
2170,Kämmekkäkuja,Nyckelblomsgränden,1, ,ritva.myyrylainen@vantaa.fi,7/12/2019 0:00,katu,Katu,,433, ,{2A322F5E-D81B-43A7-98CC-7B3734B31809},391612.7161,6686184.397,Vantaa
2171,Kannistonoja,Kannistobäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{F97C6D24-256C-439A-889E-34115193A4DB},380963.7405,6690059.701,Vantaa
2172,Tolkinkylänoja,Tolkbybäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{C35DCCAD-81EC-4E75-88AF-BD790412FF1E},385783.5499,6684346.233,Vantaa
2173,Rystypolku,Backhandsstigen,1, ,tarja.itatalo@vantaa.fi,6/7/2023 0:00,muu,jalankulku,,433, ,{5A174C4B-4A4E-4462-8917-DB489A6D37BD},379211.0173,6684029.497,Vantaa
2174,Pajupilli,Sälgpipan,1, ,ritva.myyrylainen@vantaa.fi,9/13/2019 0:00,muu,jalankulku,,433, ,{47FC8A50-FB6A-4012-B15D-A7073B15AFD0},393541.8881,6688627.052,Vantaa
2175,Pirkkalankoivuntie,Birkalabjörksvägen,1, , ,,katu,Katu,,433, ,{DADDDA75-F6A3-4FE9-9BE7-C1F4AB7D1381},377629.4262,6686217.922,Vantaa
2176,Rapsikuja,Rapsgränden,1, , ,,katu,Katu,,433, ,{72EBC9F9-E11C-4608-AEE5-F79CC2E4CA53},390032.8919,6685712.673,Vantaa
2177,Kössinkuja,Kössigränden,1, ,ritva.myyrylainen@vantaa.fi,1/19/2021 0:00,katu,Katu,,433, ,{7E51A485-DB3E-44BB-BA89-FFE7935123CA},394096.8603,6689035.882,Vantaa
2178,Kaislaranta,Sävstranden,1, ,ritva.myyrylainen@vantaa.fi,10/3/2019 0:00,katu,Katu,,433, ,{52740D1A-5690-4967-B926-F721BD408879},391012.051,6685027.372,Vantaa
2179,Särkkäkuja,Revgränden,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,katu,Katu,,433, ,{B2F3EA5D-47BC-42E3-A4B8-EA5B6DD8CC08},390272.5944,6690093.464,Vantaa
2180,Itä-Hakkilan oja,Östra Haxbölebäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{8A51B818-366C-4BD4-B499-F1050395A494},395752.2311,6685554.203,Vantaa
2181,Kirvelipolku,Körvelstigen,1, ,ritva.myyrylainen@vantaa.fi,7/12/2019 0:00,muu,jalankulku,,433, ,{F006CCAF-7245-4FC8-A32B-55D5387A1D0B},390602.3583,6685646.259,Vantaa
2182,Vuollemutka,Strömkröken,1, , ,,katu,Katu,,433, ,{1EAB1E57-6251-448C-9594-03E05E352762},381229.4117,6683353.087,Vantaa
2183,Peippotie,Bofinksvägen,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,katu,Katu,,433, ,{BB26D06D-FF87-477E-A91B-239B09DDAD7F},393927.3494,6694353.476,Vantaa
2184,Rataramppi,Banrampen,1, , ,,katu,Katu,,433, ,{0BF21D2A-0947-4741-BBB9-443A782E43C4},391922.1659,6686269.493,Vantaa
2185,Siilipuistontie,Igelkottsparksvägen,1, , ,,katu,Katu,,433, ,{AA97929B-9553-4676-8E1E-62F1738FBC9D},394570.4468,6692063.315,Vantaa
2186,Paalumäki,Pålbacken,1, , ,,muu,jalankulku,,433, ,{EE2FFA39-BA73-41A8-AA1B-C2100EF06A84},395638.5469,6686290.792,Vantaa
2187,Impivaarantie,Impivaaravägen,1, ,tarja.itatalo@vantaa.fi,12/18/2020 0:00,katu,Katu,,433, ,{48CC12F9-9BEE-4142-80CD-03C4AF144718},378665.5977,6695016.33,Vantaa
2188,Vårlekan,Vårlekan,1, , ,,rakennuskohde,"Asutusnimi(talo, torppa,...)",,433, ,{F8522F7F-3DC9-40DE-B1FD-260C3C317FA7},395887.6267,6683488.7,Vantaa
2189,Myyrätie,Mullvadsvägen,1, ,ritva.myyrylainen@vantaa.fi,7/8/2019 0:00,katu,Katu,,433, ,{0F628655-DE3E-45A4-9A5F-847FC54D25D4},394134.5696,6692103.286,Vantaa
2190,Herkkutalonpolku,Herkkutalostigen,1, ,ritva.myyrylainen@vantaa.fi,6/9/2020 0:00,muu,jalankulku,,433, ,{FCC41A3D-D451-4ACD-9FAB-4621FAEF5713},380875.342,6684693.12,Vantaa
2191,Friimetsä,Friskogen,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{AD816255-B261-43F9-B1C9-F13D2334EC65},378150.3266,6685550.965,Vantaa
2192,Lepomäentie,Lepomäkivägen,1, ,tarja.itatalo@vantaa.fi,12/22/2020 0:00,katu,Katu,,433, ,{DAC2C1BA-404C-4C9A-98E8-AC4F3EC8A126},380929.7117,6695560.886,Vantaa
2193,Kvartsijuonenraitti,Kvartsådersstråket,1, , ,,muu,jalankulku,,433, ,{FFC51C92-BBA6-4A0F-A279-7595F48244E3},381715.3692,6689118.683,Vantaa
2194,Rusokalliontie,Brunabergsvägen,1, ,ritva.myyrylainen@vantaa.fi,4/11/2023 0:00,katu,Katu,,433, ,{2EEFBF8D-2C99-4D5A-B6D0-219A79994AD3},394556.187,6686825.348,Vantaa
2195,Perhotienkenttä,Fjärilsvägsplanen,1, , ,,rakennettu luonnonkohde,urheilualue (kentät),2/8/2016 0:00,433,ritva.myyrylainen,{0D04F777-FD2A-464E-B9D7-472AE79A1CD1},397127.2174,6691242.241,Vantaa
2196,Merkkikuja,Råträdsgränden,1, ,ritva.myyrylainen@vantaa.fi,9/27/2019 0:00,katu,Katu,,433, ,{CDD1CDB7-CA14-40D1-8A2C-95BBC07AF553},395682.321,6686392.536,Vantaa
2197,Murronhaara,Murtogrenen,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{53D38BD7-2189-4EC1-9B82-5B80A01CE21D},380515.2469,6693804.184,Vantaa
2198,Hellänkuja,Hellägränden,1, ,ritva.myyrylainen@vantaa.fi,9/13/2019 0:00,katu,Katu,,433, ,{F5CCB69E-414C-4EF3-9808-E567A6B57920},395578.1554,6689445.578,Vantaa
2199,Hallakuja,Frostgränden,1, ,ritva.myyrylainen@vantaa.fi,7/17/2019 0:00,katu,pihakatu,,433, ,{88B7A4D6-3F08-40BC-99EB-4C41E50F29F7},384575.6985,6693238.509,Vantaa
2200,Köyhämäki,Fattigbacka,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{25747079-DFB2-41F9-95B3-000E2DB0199B},389047.1118,6685891.604,Vantaa
2201,Stenåkern,Stenåkern,1, , ,,rakennuskohde,"Asutusnimi(talo, torppa,...)",,433, ,{228FEA0E-A3D8-4D8B-B794-3ECE06388354},395897.4672,6683450.395,Vantaa
2202,Nahkiaisenkuja,Nejonögsgränden,1, ,ritva.myyrylainen@vantaa.fi,7/16/2019 0:00,katu,Katu,,433, ,{146AA5E2-4F60-45A0-92AF-D1802F4272A9},396134.9202,6691820.483,Vantaa
2203,Virsutie,Näverskovägen,1, ,ritva.myyrylainen@vantaa.fi,3/9/2020 0:00,katu,Katu,,433, ,{0DBC1D19-559F-465E-839D-8E46BF79DE99},393632.9051,6688794.466,Vantaa
2204,Linnanoja,Linnabäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{A4D2066A-D2F1-483E-9C15-A4FA715D4DC3},380993.2588,6690636.94,Vantaa
2205,Mäkimatintie,Matsbackavägen,1, ,tarja.itatalo@vantaa.fi,12/22/2020 0:00,katu,Katu,,433, ,{FF0B202A-D325-4BD0-BBA2-619FA5C5A265},378864.1196,6693549.228,Vantaa
2206,Maitorpankulma,Majtorpsvinkeln,1, ,ritva.myyrylainen@vantaa.fi,7/15/2019 0:00,katu,Katu,,433, ,{206C5AA1-7EE1-41A7-964C-5898E841C441},380635.7166,6689691.326,Vantaa
2207,Ohrakuja,Korngränden,1, ,ritva.myyrylainen@vantaa.fi,10/16/2019 0:00,katu,Katu,,433, ,{10193E80-A273-4CA5-BA9A-58E0785C9CD3},392855.3647,6686008.477,Vantaa
2208,Vaahtopolku,Skumstigen,1, ,ritva.myyrylainen@vantaa.fi,3/12/2020 0:00,muu,jalankulku,,433, ,{F8FF5BB9-5EB0-4F24-B444-48463FD0F23C},380731.2885,6683445.788,Vantaa
2209,Rajasillanoja,Råbrobäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{5956FC62-6EE3-40C0-9A5D-86DF5524B862},381767.9135,6690026.298,Vantaa
2210,Bertaksenkuja,Bertasgränden,1, ,tarja.itatalo@vantaa.fi,12/15/2020 0:00,katu,Katu,,433, ,{31226290-8B42-48BE-AEF0-6E2088AB608C},381814.4007,6686987.185,Vantaa
2211,Kilterinmäki,Gillerbacka,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{40EAFF0E-4277-4C3A-B23F-B122E33C3FF4},381196.3445,6681866.745,Vantaa
2212,Hiirilammet,Mösspottarna,1, ,ritva.myyrylainen@vantaa.fi,1/14/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{5F80377C-7963-480D-A2B5-2E0203FA70F2},391110.8753,6688284.882,Vantaa
2213,Tavastkullanpelto,Tavastkullaåkern,1, , ,,rakennettu luonnonkohde,Viheralue,,433, ,{D28D99DB-B7A2-4323-8C5E-ACE6777B9ACD},377540.6264,6683421.939,Vantaa
2214,Ojakiventie,Bäckstensvägen,2, , ,,katu,Katu,,433, ,{8D4BBE0B-A47C-4A18-95DD-70A236248DDA},397119.0207,6682933.26,Vantaa
2215,Hopeapajuntie,Silverpilsvägen,1, ,tarja.itatalo@vantaa.fi,12/18/2020 0:00,katu,Katu,,433, ,{0FB1DFE8-F605-4B43-8443-D65D6142E43B},380866.1047,6694450.243,Vantaa
2216,Kaskupolku,Anekdotstigen,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,muu,jalankulku,,433, ,{03B61097-E0EC-4578-B53B-999AFC609A4B},390660.9576,6690337.235,Vantaa
2217,Vesurikuja,Lövskäregränden,1, ,ritva.myyrylainen@vantaa.fi,6/28/2019 0:00,katu,Katu,,433, ,{E722AED6-52EE-40C6-8A5D-6EC1BE949619},378551.4362,6681005.187,Vantaa
2218,Kotikoivunkuja,Hembjörksgränden,1, , ,,katu,Katu,,433, ,{139FAC91-C0EA-4CAB-A942-17754AF6255C},377675.7284,6686227.52,Vantaa
2219,Joutsenpolku,Svanstigen,1, ,ritva.myyrylainen@vantaa.fi,7/17/2019 0:00,katu,Katu,,433, ,{46C93AAA-B88A-4053-BACD-771D1A496DBF},393348.7485,6692741.068,Vantaa
2220,Suotie,Kärrvägen,1, ,ritva.myyrylainen@vantaa.fi,6/20/2022 0:00,katu,Katu,,433, ,{9377E17A-6B8D-4E4D-B853-A5087759B4A6},379624.1097,6687162.14,Vantaa
2221,Männikönoja,Männikköbäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{50772B3C-E908-4CB5-82C8-A66056DEB1A8},381770.3724,6694161.178,Vantaa
2222,Veteraaniaukio,Veteranplatsen,1, ,eeva.seppanen,6/12/2014 0:00,rakennettu luonnonkohde,"tori, katuaukio",6/12/2014 0:00,433,eeva.seppanen,{BDB664D6-3236-4039-A367-D127A7CB29F1},391802.4748,6685337.484,Vantaa
2223,Kenraalinkuja,Generalsgränden,1, ,ritva.myyrylainen@vantaa.fi,9/10/2019 0:00,katu,Katu,,433, ,{AB2644AD-DFA8-42F4-A909-C3B79C02B1B8},381930.1824,6689933.276,Vantaa
2224,Heinäpolku,Höstigen,1, ,ritva.myyrylainen@vantaa.fi,11/19/2019 0:00,muu,jalankulku,,433, ,{4A377325-7D34-4CB6-AA64-150B20DF0FE9},379098.5648,6683787.351,Vantaa
2225,Lintutorninsilta,Fågeltornsbron,1, , ,,muu,kevyen liik. sillat ja eritasot,,433, ,{8F335E6C-6BAE-4468-8C44-E2D9D9A79BBD},376802.1639,6683775.413,Vantaa
2226,Ruutulippu,Målflaggan,4, , ,,rakennettu luonnonkohde,puisto,,433, ,{2B20E01C-CB22-46B8-9954-CAF9BA542B2C},379942.7972,6689113.45,Vantaa
2227,Peltokulma,Åkervinkeln,1, ,ritva.myyrylainen@vantaa.fi,5/17/2019 0:00,katu,Katu,,433, ,{E7F57D7B-0AC2-416E-8480-2A7D8B6277CC},384508.6152,6683845.201,Vantaa
2228,Saksalainen sotilashautausmaa,Tyska soldatbegravningsplatsen,4, ,ritva.myyrylainen@vantaa.fi,6/30/2020 0:00,rakennettu luonnonkohde,"erityisal. (hautausmaat, puutarhat)",,433, ,{4EC92C8C-77D0-44A5-A8A9-869879CB5E27},394755.3107,6685299.384,Vantaa
2229,Köyhämäenkuja,Fattigbackagränden,1, ,ritva.myyrylainen@vantaa.fi,7/3/2019 0:00,katu,Katu,,433, ,{0821315A-6CD2-4FAD-82BB-7A9CA46CBAEB},388906.7665,6685886.811,Vantaa
2230,Lamppupolku,Lampstigen,1, ,ritva.myyrylainen@vantaa.fi,9/9/2019 0:00,muu,jalankulku,,433, ,{DB514F85-1787-4A4E-B3AF-6656491BF32E},382463.0987,6684226.123,Vantaa
2231,Keiholehdenkuja,Pilörtsgränden,1, ,ritva.myyrylainen@vantaa.fi,9/9/2019 0:00,muu,jalankulku,,433, ,{49213A5E-C61E-4503-93D9-4D1EFDA7310E},389650.1924,6685582.337,Vantaa
2232,Kalpatie,Glavvägen,1, ,ritva.myyrylainen@vantaa.fi,5/21/2019 0:00,katu,Katu,,433, ,{CFCA09D8-C706-456A-853C-96B9F4997654},381586.8609,6690075.456,Vantaa
2233,Rastipolku,Raststigen,1, ,ritva.myyrylainen@vantaa.fi,4/16/2020 0:00,muu,jalankulku,,433, ,{E93C945D-6354-46E7-9762-20B8BEDD942A},393422.6431,6688787.45,Vantaa
2234,Talttapolku,Mejselstigen,1, , ,,muu,jalankulku,,433, ,{0DEDA298-692B-4859-BC04-3B0ED33A0288},379714.8058,6683014.927,Vantaa
2235,Rahkatie,Vitmossevägen,1, ,ritva.myyrylainen@vantaa.fi,6/20/2022 0:00,katu,Katu,,433, ,{E08E5113-2F1C-462E-BE21-5C0C6D63F360},380317.9628,6687022.765,Vantaa
2236,Raiviosuonmäki,Rödjekärrsbacken,1, ,ritva.myyrylainen@vantaa.fi,9/20/2019 0:00,katu,Katu,,433, ,{66860872-FFBE-41D0-ABF4-E20CCCCCCA4A},380983.6163,6684690.587,Vantaa
2237,Valtiaanrinne,Härskarbrinken,1, , ,,muu,jalankulku,,433, ,{DDB0C5E3-3800-4A00-B6A5-EF949F47F10F},396406.9409,6685705.377,Vantaa
2238,Timanttikiteenpolku,Diamantkristallsstigen,1, ,ritva.myyrylainen@vantaa.fi,9/10/2019 0:00,muu,jalankulku,,433, ,{B13F655C-FD49-4457-A1C7-5212D83FE02D},381365.7634,6688963.741,Vantaa
2239,Uutiskuja,Nyhetsgränden,1, ,ritva.myyrylainen@vantaa.fi,5/13/2020 0:00,katu,Katu,,433, ,{20F032A9-EC0B-4CC1-A4E1-6D29AD9172B3},381448.8846,6685623.714,Vantaa
2240,Variston yritysalue,Varistorna företagsområde,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{58A2FE0C-7E15-416F-9416-92248D7FF72C},379373.7319,6684202.548,Vantaa
2241,Skiljegårdsbäcken,Skiljegårdsbäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{842AA166-5EB0-4F2C-A563-5D26BDEDA225},381779.8724,6686497.122,Vantaa
2242,Uusiniitynkuja,Nyängsgränden,1, ,ritva.myyrylainen@vantaa.fi,7/16/2019 0:00,katu,Katu,,433, ,{CAF26CBA-6E3A-40E0-8941-42030E539AE1},391470.5093,6688086.401,Vantaa
2243,Tuomiharjunkuja,Häggåsgränden,1, ,ritva.myyrylainen@vantaa.fi,9/23/2019 0:00,katu,pihakatu,,433, ,{16E550EB-2733-4F7D-B9D5-E26754879C3B},377414.5726,6683095.057,Vantaa
2244,Forsbackantaival,Forsbackastråten,1, ,ritva.myyrylainen@vantaa.fi,7/4/2019 0:00,katu,Katu,,433, ,{6960B8EC-F46D-4358-ABB3-F761FFFF0A72},381000.3283,6691041.182,Vantaa
2245,Metsämäentie,Skogsbacksvägen,1, ,ritva.myyrylainen@vantaa.fi,7/3/2019 0:00,katu,Katu,,433, ,{E5A7B369-D0CA-4EC7-949D-4DA411559C2D},389431.8103,6686737.025,Vantaa
2246,Yökkösentie,Nattfjärilsvägen,1, ,ritva.myyrylainen@vantaa.fi,6/19/2019 0:00,katu,Katu,,433, ,{05C9877D-216D-45C5-A236-F15B348993BC},397429.6779,6691083.82,Vantaa
2247,Tanssijanpolku,Dansarstigen,1, ,ritva.myyrylainen@vantaa.fi,6/2/2020 0:00,muu,jalankulku,,433, ,{B8EA702B-EA09-4FD0-9756-7F5ACA031A85},391355.2656,6689906.18,Vantaa
2248,Koukkuniitynpolku,Krokängsstigen,1, ,ritva.myyrylainen@vantaa.fi,9/9/2019 0:00,katu,Katu,,433, ,{C9E2C122-9FAB-4C87-B7CA-99357A149DAA},382322.7096,6684875.919,Vantaa
2249,Parkkikuja,Parkeringsgränden,1, ,ritva.myyrylainen@vantaa.fi,10/25/2021 0:00,katu,Katu,,433, ,{B979FF47-B785-47C3-A65C-DC196A3323DF},387814.0078,6688336.287,Vantaa
2250,Saraksenoja,Sarasbäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{1A701181-0200-4FCB-9DB5-D29285D36CCB},380112.1694,6689981.516,Vantaa
2251,Estepolku,Hinderstigen,1, ,ritva.myyrylainen@vantaa.fi,4/15/2020 0:00,muu,jalankulku,,433, ,{1711682B-E25F-4C97-A508-1C39B3C265C3},395234.686,6680237.802,Vantaa
2252,Kirsikkarinne,Körsbärsbrinken,1, ,tarja.itatalo@vantaa.fi,12/30/2020 0:00,katu,pihakatu,,433, ,{07F429B3-5C66-469A-BA75-7F566C95DF5F},390386.2898,6688395.43,Vantaa
2253,Vaskipellonoja,Kopparåkersbäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{877AB94C-9656-4875-9F2E-6DE92C895FC6},381811.4395,6682030.137,Vantaa
2254,Pukinjuurentie,Bockrotsvägen,1, ,ritva.myyrylainen@vantaa.fi,1/8/2020 0:00,katu,Katu,,433, ,{0E708CC3-A497-4D88-802B-F9B066CCC073},390966.5821,6686673.713,Vantaa
2255,Rosendalinrinki,Rosendalsringen,1, ,ritva.myyrylainen@vantaa.fi,3/23/2020 0:00,katu,Katu,,433, ,{8AB6B6F3-D1B5-449E-86AF-C73EB75E6CD5},387600.4316,6683138.372,Vantaa
2256,Rauhala,Rauhala,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{AE1EAFB8-E7AD-448F-83D8-4CB41E75CFE0},380851.2796,6690243.156,Vantaa
2257,Syystuulenkuja,Höstvindsgränden,1, ,ritva.myyrylainen@vantaa.fi,7/17/2019 0:00,katu,pihakatu,,433, ,{27A95905-BD8F-4DA4-815E-CE08A449499F},384718.5869,6693414.509,Vantaa
2258,Vinokaspolku,Musslingsstigen,1, ,ritva.myyrylainen@vantaa.fi,10/19/2020 0:00,muu,jalankulku,,433, ,{1DE4E4C5-CD27-45E6-8F2B-8F1F5C2AB1AA},385168.2458,6684992.052,Vantaa
2259,Tapionrannanpolku,Tapiostrandsstigen,1, , ,,muu,jalankulku,,433, ,{5526C30A-8D41-4846-B79E-07B571636CE9},394466.631,6688806.826,Vantaa
2260,Siilitaival,Igelkottsstråten,1, , ,,katu,Katu,,433, ,{696C30A3-3EB8-4372-89C0-A9E63D5EDCE1},394583.0387,6691950.911,Vantaa
2261,Niskalansilta,Nackbölebron,1, , ,,muu,kevyen liik. sillat ja eritasot,,433, ,{F8FD7813-D620-428D-AC03-BDB0CD9D36A7},384980.5188,6683658.429,Vantaa
2262,Vernissasilta,Fernissabron,2, , ,,muu,kevyen liik. sillat ja eritasot,,433, ,{DC00B3CB-1307-415E-A749-EB6339FCD743},391820.1798,6685248.379,Vantaa
2263,Suokeijunkuja,Kärrälvegränden,1, ,ritva.myyrylainen@vantaa.fi,7/17/2019 0:00,katu,pihakatu,,433, ,{C4FD196C-6FF4-4108-8217-7CE3A94EAAE2},384863.3445,6693212.94,Vantaa
2264,Jokisuontie,Åmossevägen,1, ,tarja.itatalo@vantaa.fi,12/15/2020 0:00,katu,Katu,,433, ,{44DFCF4C-3EFB-41C5-BA56-A3F257198BE6},376523.3608,6690111.108,Vantaa
2265,Leinelän puistotie,Lejleallén,1, ,ritva.myyrylainen@vantaa.fi,7/10/2019 0:00,katu,Katu,,433, ,{A4A86F16-9A3C-4394-8A81-9ED03C25089D},391878.2304,6688962.575,Vantaa
2266,Kiitäjäntie,Svärmarvägen,1, ,ritva.myyrylainen@vantaa.fi,7/16/2019 0:00,katu,Katu,,433, ,{1F73688B-5F3A-40CC-AA21-BB30825150C6},397081.9004,6690678.49,Vantaa
2267,Laajakorvenpolku,Bredkärrsstigen,1, ,ritva.myyrylainen@vantaa.fi,9/20/2019 0:00,muu,jalankulku,,433, ,{70C20806-A9DF-49E5-86CB-1D3F441D2CAB},380795.9879,6684764.383,Vantaa
2268,Loitsukuja,Trollkvädegränden,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,katu,Katu,,433, ,{3D549701-C569-4928-BDFC-BCCEEAF4552F},390841.3749,6690605.99,Vantaa
2269,Vuohipolku,Getstigen,1, ,tarja.itatalo@vantaa.fi,12/29/2020 0:00,katu,Katu,,433, ,{6290345C-2C20-4E99-BCF5-106BDB531F71},395206.8229,6691319.41,Vantaa
2270,Uunipolku,Ugnsstigen,1, ,tarja.itatalo@vantaa.fi,12/29/2020 0:00,katu,Katu,,433, ,{1CC0E349-A9C9-4B1E-AF27-C870B6721419},397630.5641,6685751.279,Vantaa
2271,Topaasikuja,Topasgränden,1, , ,,katu,Katu,,433, ,{4B308901-E062-4AED-9D81-EBAA79DC05D0},381246.2703,6688360.736,Vantaa
2272,Pärispruunsarka,Bergsbrotegen,1, , ,,rakennettu luonnonkohde,puisto,8/17/2017 0:00,433,ritva.myyrylainen,{4D62DFCB-2C2C-4653-AE8C-8A70979A8DA6},379738.9696,6684717.762,Vantaa
2273,Raatinniitunoja,Raatinniittubäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{C34932F5-49CA-4982-8BD5-0822FD61E201},383131.2057,6695595.207,Vantaa
2274,Maahisenkuja,Maahinengränden,1, ,ritva.myyrylainen@vantaa.fi,1/8/2020 0:00,katu,Katu,,433, ,{8B8F2392-1443-4793-B485-027201620815},395226.5705,6688461.325,Vantaa
2275,Keikarinpolku,Sprättstigen,1, ,ritva.myyrylainen@vantaa.fi,3/23/2020 0:00,muu,jalankulku,,433, ,{5EDDA654-244C-4377-B433-6F85012B0965},387259.7995,6685228.651,Vantaa
2276,Halssinpolku,Halssinpolku,1, ,tarja.itatalo@vantaa.fi,12/30/2020 0:00,muu,jalankulku,,433, ,{C37B4A6A-4330-4F21-A1C5-1DF52ED52409},392021.9118,6683951.999,Vantaa
2277,Kolohonganreitti,Hålatallsstråket,1, , ,,katu,Katu,,433, ,{3B3392FB-8B12-45F9-A4D4-EB39D5C8C0AC},395576.7387,6686132.636,Vantaa
2278,Kiiltomäki,Glitterbacken,1, ,ritva.myyrylainen@vantaa.fi,10/1/2019 0:00,katu,Katu,,433, ,{2E623761-DDC5-4506-AE90-235F4724F3CA},396620.2696,6686085.684,Vantaa
2279,Malminiitty,Malmängen,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{9FAE2140-54DA-4DB9-AC05-DF41EFEADA45},391777.1193,6688181.281,Vantaa
2280,Kisamäki,Kampbacken,1, ,ritva.myyrylainen@vantaa.fi,6/7/2019 0:00,katu,Katu,,433, ,{06863BF1-F5EC-4EF3-94FC-3C68F1C44768},393199.9798,6692357.684,Vantaa
2281,Ritarimäki,Riddarbacken,1, ,ritva.myyrylainen@vantaa.fi,7/16/2019 0:00,katu,Katu,,433, ,{000F8BE4-BC45-4698-852B-3F22105F796D},381385.9985,6689766.8,Vantaa
2282,Peräjänkulma,Peräjänkulma,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{7E9D74C0-D18C-489B-9F2C-632536754D7E},379535.5714,6693558.855,Vantaa
2283,Kaunisharju,Fageråsen,1, ,ritva.myyrylainen@vantaa.fi,8/30/2019 0:00,katu,Katu,,433, ,{D1F7979C-55AD-4B82-A7ED-05DDDA39A2C8},394400.0589,6682727.527,Vantaa
2284,Leinelänpolku,Lejlestigen,1, ,ritva.myyrylainen@vantaa.fi,7/10/2019 0:00,katu,pihakatu,,433, ,{F59D8A96-CF1E-4259-B640-DBF299D374C2},391555.4877,6689224.635,Vantaa
2285,Loiskepolku,Skvalpstigen,1, ,ritva.myyrylainen@vantaa.fi,3/12/2020 0:00,muu,jalankulku,,433, ,{394A7342-0D08-402B-BF22-B5AEB9D3C986},380563.692,6683659.99,Vantaa
2286,Satupolku,Sagostigen,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,muu,jalankulku,,433, ,{BE04A969-DFD2-4A66-98F7-40925F96BFC9},390974.8838,6690409.312,Vantaa
2287,Tiklitie,Steglitsvägen,1, , ,,katu,Katu,,433, ,{267A39DA-FC83-449B-99AE-57BD24E2FB37},393379.0271,6693210.694,Vantaa
2288,Kylmäoja,Kallbäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{98888433-B305-4C73-BD26-C845B65A321C},388866.0374,6688956.742,Vantaa
